Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,MEAN,,,MIN,MAX,,,,
7.7,2.6,6.9,2.3,4.875,,,,,,,,
6,2.2,5,1.5,3.675,,,,,,,,
6.9,3.2,5.7,2.3,4.525,,,,,,,,
5.6,2.8,4.9,2,3.825,,,,,,,,
7.7,2.8,6.7,2,4.8,,,,,,,,
6.3,2.7,4.9,1.8,3.925,,,,,,,,
6.7,3.3,5.7,2.1,4.45,,,,,,,,
7.2,3.2,6,1.8,4.55,,,,,,,,
6.2,2.8,4.8,1.8,3.9,,,,,,,,
6.1,3,4.9,1.8,3.95,,,,,,,,
6.4,2.8,5.6,2.1,4.225,,,,,,,,
7.2,3,5.8,1.6,4.4,,,,,,,,
7.4,2.8,6.1,1.9,4.55,,,,,,,,
7.9,3.8,6.4,2,5.025,,,,,,,,
6.4,2.8,5.6,2.2,4.25,,,,,,,,
6.3,2.8,5.1,1.5,3.925,,,,,,,,
6.1,2.6,5.6,1.4,3.925,,,,,,,,
7.7,3,6.1,2.3,4.775,,,,,,,,
6.3,3.4,5.6,2.4,4.425,,,,,,,,
6.4,3.1,5.5,1.8,4.2,,,,,,,,
6,3,4.8,1.8,3.9,,,,,,,,
6.9,3.1,5.4,2.1,4.375,,,,,,,,
6.7,3.1,5.6,2.4,4.45,,,,,,,,
6.9,3.1,5.1,2.3,4.35,,,,,,,,
5.8,2.7,5.1,1.9,3.875,,,,,,,,
6.8,3.2,5.9,2.3,4.55,,,,,,,,
6.7,3.3,5.7,2.5,4.55,,,,,,,,
6.7,3,5.2,2.3,4.3,,,,,,,,
6.3,2.5,5,1.9,3.925,,,,,,,,
6.5,3,5.2,2,4.175,,,,,,,,
6.2,3.4,5.4,2.3,4.325,,,,,,,,
5.9,3,5.1,1.8,3.95,,,,,,,,
